Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,158.415436,166.175293,154.239548,159.117386,159.117386,3908939772
2021-09-16,158.807281,163.122833,147.653275,152.474060,152.474060,3215168472
2021-09-17,152.351440,153.444931,135.245224,147.593063,147.593063,4675731485
2021-09-18,147.448761,171.142776,144.392258,169.184219,169.184219,5415012910
2021-09-19,169.226334,170.652115,151.250977,152.516693,152.516693,3350530308
2021-09-20,152.794479,153.387665,131.261032,132.134460,132.134460,5623667250
2021-09-21,132.762314,144.468445,116.343201,123.950394,123.950394,5243953819
2021-09-22,124.177452,150.941513,122.349159,147.924255,147.924255,4952222859
2021-09-23,148.055161,152.364990,143.201263,149.753571,149.753571,3389212044
2021-09-24,149.935471,151.201904,128.801315,139.395645,139.395645,3852350632
2021-09-25,139.296555,144.072556,134.107758,136.178925,136.178925,2037106949
2021-09-26,136.216156,140.781784,125.115425,135.699371,135.699371,2674182809
2021-09-27,135.931366,148.497833,133.984283,136.728424,136.728424,2867246888
2021-09-28,136.508911,139.294357,128.244827,131.537216,131.537216,2422542861
2021-09-29,132.338531,140.038177,131.233688,135.351456,135.351456,2428105040
2021-09-30,135.412903,142.853165,134.313263,141.069046,141.069046,2244376110
2021-10-01,141.382919,164.737549,138.436935,161.682373,161.682373,4387488320
2021-10-02,161.594391,174.900696,156.322342,169.093018,169.093018,3471658582
2021-10-03,169.113708,176.970337,166.070007,172.589157,172.589157,3149579954
2021-10-04,172.961624,172.961624,162.773331,166.731918,166.731918,3109040100
2021-10-05,166.994965,169.979370,160.593155,164.115829,164.115829,2541087419
2021-10-06,164.605194,165.361984,150.768372,154.107742,154.107742,3259712887
2021-10-07,153.961151,161.362991,150.542038,154.281189,154.281189,2579187256
2021-10-08,154.256546,168.846375,152.755768,158.949203,158.949203,2781848650
2021-10-09,158.704697,161.407318,154.869797,156.825836,156.825836,1522023824
2021-10-10,156.751923,158.361572,146.898239,148.048706,148.048706,1556965341
2021-10-11,147.800446,153.921143,140.363968,144.858139,144.858139,1851795187
2021-10-12,145.007660,153.263977,137.811569,152.737122,152.737122,2853992440
2021-10-13,152.523926,155.347992,144.407867,148.176041,148.176041,2105226551
2021-10-14,148.017273,155.329742,147.330933,149.756805,149.756805,1948101208
2021-10-15,150.046600,165.122208,146.984833,162.596207,162.596207,3970589003
2021-10-16,163.007034,164.713715,156.737564,157.538818,157.538818,1531502795
2021-10-17,157.463562,167.425995,154.090347,159.743805,159.743805,2168838138
2021-10-18,159.997482,162.856277,155.030228,157.231277,157.231277,1698878759
2021-10-19,157.210205,159.405869,153.221008,156.017029,156.017029,1400902548
2021-10-20,155.883392,176.440674,155.199844,175.946869,175.946869,3315306825
2021-10-21,176.765549,193.599152,176.765549,190.318436,190.318436,6865815461
2021-10-22,190.454895,214.044449,188.273621,196.431534,196.431534,7486821306
2021-10-23,196.300476,205.669876,192.562759,197.703857,197.703857,3253670286
2021-10-24,197.973114,204.719101,185.572433,202.361984,202.361984,3413057378
2021-10-25,202.316483,218.731888,198.202438,210.104294,210.104294,4837376169
2021-10-26,209.531647,213.982864,197.486649,199.807251,199.807251,3194205752
2021-10-27,199.874481,205.404739,178.730865,183.774597,183.774597,4552692842
2021-10-28,184.515701,201.045364,182.217529,194.863983,194.863983,3463958628
2021-10-29,194.906433,204.896606,194.906433,200.182755,200.182755,2468703579
2021-10-30,200.225723,200.386230,187.816574,195.416061,195.416061,1732207667
2021-10-31,195.773773,205.163376,186.062988,202.421021,202.421021,2577364486
2021-11-01,202.629211,211.360840,198.238968,203.545090,203.545090,3157612663
2021-11-02,203.517914,222.233032,201.180389,220.239594,220.239594,3020087232
2021-11-03,221.076752,246.321533,216.196198,242.898819,242.898819,6024951132
2021-11-04,243.097809,250.466339,235.150879,247.387772,247.387772,4440296290
2021-11-05,247.270935,248.383911,231.160812,236.474335,236.474335,2752870913
2021-11-06,236.492752,260.062103,235.289963,258.934326,258.934326,3869779683
